日付,台番,差枚,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大出メダル
2026/05/01,703,-3292,,,,,,,
2026/05/01,706,-1000,,,,,,,
2026/05/01,707,-1292,,,,,,,
2026/05/01,708,-167,,,,,,,
2026/05/01,710,-1583,,,,,,,
2026/05/02,703,-2500,,,,,,,
2026/05/02,706,3958,,,,,,,
2026/05/02,707,1000,,,,,,,
2026/05/02,708,-1271,,,,,,,
2026/05/02,710,188,,,,,,,
2026/05/03,703,7229,,,,,,,
2026/05/03,706,-812,,,,,,,
2026/05/03,707,-2042,,,,,,,
2026/05/03,708,-1000,,,,,,,
2026/05/03,710,-5458,,,,,,,
2026/05/04,703,2917,,,,,,,
2026/05/04,706,-1083,,,,,,,
2026/05/04,707,-2125,,,,,,,
2026/05/04,708,-792,,,,,,,
2026/05/04,710,5021,,,,,,,
2026/05/05,703,3771,,,,,,,
2026/05/05,706,-2458,,,,,,,
2026/05/05,708,-2896,,,,,,,
2026/05/05,710,-5312,,,,,,,
2026/05/06,703,1458,,,,,,,
2026/05/06,706,7271,,,,,,,
2026/05/06,708,6438,,,,,,,
2026/05/06,710,9333,,,,,,,
2026/05/07,703,7875,,,,,,,
2026/05/07,706,-917,,,,,,,
2026/05/07,708,4708,,,,,,,
2026/05/07,710,-4938,,,,,,,
2026/05/08,703,-292,,,,,,,
2026/05/08,706,8562,,,,,,,
2026/05/08,708,-1333,,,,,,,
2026/05/08,710,188,,,,,,,
2026/05/09,703,11062,,,,,,,
2026/05/09,706,-1708,,,,,,,
2026/05/09,708,6625,,,,,,,
2026/05/09,710,1938,,,,,,,
2026/05/10,703,-2375,,,,,,,
2026/05/10,706,-458,,,,,,,
2026/05/10,708,-1167,,,,,,,
2026/05/10,710,2688,,,,,,,
2026/05/11,703,4854,,,,,,,
2026/05/11,706,-896,,,,,,,
2026/05/11,708,125,,,,,,,
2026/05/11,710,3104,,,,,,,
2026/05/12,703,-167,,,,,,,
2026/05/12,706,188,,,,,,,
2026/05/12,708,-750,,,,,,,
2026/05/12,710,1083,,,,,,,
2026/05/13,703,3354,,,,,,,
2026/05/13,706,-562,,,,,,,
2026/05/13,708,833,,,,,,,
2026/05/14,703,-2583,,,,,,,
2026/05/14,706,-875,,,,,,,
2026/05/14,708,1667,,,,,,,
2026/05/15,703,-1125,,,,,,,
2026/05/15,706,-542,,,,,,,
2026/05/15,708,-562,,,,,,,
2026/05/16,703,1375,,,,,,,
2026/05/16,706,-583,,,,,,,
2026/05/16,708,-21,,,,,,,
2026/05/17,703,-562,,,,,,,
2026/05/17,706,-542,,,,,,,
2026/05/17,708,-292,,,,,,,
2026/05/18,703,-917,,,,,,,
2026/05/18,706,3500,,,,,,,
2026/05/18,708,417,,,,,,,
2026/05/19,703,-1771,,,,,,,
2026/05/19,706,-396,,,,,,,
2026/05/19,708,-1646,,,,,,,
2026/05/20,703,-2104,,,,,,,
2026/05/20,706,-1083,,,,,,,
2026/05/20,708,-1708,,,,,,,
2026/05/21,703,-875,,,,,,,
2026/05/21,706,-792,,,,,,,
2026/05/21,708,-292,,,,,,,
2026/05/22,703,-1458,,,,,,,
2026/05/22,706,2917,,,,,,,
2026/05/22,708,-167,,,,,,,
2026/05/23,703,-1312,,,,,,,
2026/05/23,705,-2312,,,,,,,
2026/05/23,706,833,,,,,,,
2026/05/23,708,1188,,,,,,,
2026/05/24,703,250,,,,,,,
2026/05/24,705,-2250,,,,,,,
2026/05/24,706,-2104,,,,,,,
2026/05/24,708,6688,,,,,,,
2026/05/25,703,-21,,,,,,,
2026/05/25,705,1688,,,,,,,
2026/05/25,706,-1708,,,,,,,
2026/05/25,708,-625,,,,,,,
2026/05/26,703,-2875,,,,,,,
2026/05/26,705,-875,,,,,,,
2026/05/26,706,-3875,,,,,,,
2026/05/26,708,21,,,,,,,
2026/05/27,703,-1458,,,,,,,
2026/05/27,705,-542,,,,,,,
2026/05/27,706,-292,,,,,,,
2026/05/27,708,6625,,,,,,,
2026/05/28,703,7375,,,,,,,
2026/05/28,705,-208,,,,,,,
2026/05/28,706,-708,,,,,,,
2026/05/28,707,3708,,,,,,,
2026/05/28,708,-500,,,,,,,
2026/05/29,703,-542,,,,,,,
2026/05/29,705,2167,,,,,,,
2026/05/29,706,-375,,,,,,,
2026/05/29,707,292,,,,,,,
2026/05/29,708,-542,,,,,,,
2026/05/30,703,208,,,,,,,
2026/05/30,705,-62,,,,,,,
2026/05/30,706,1812,,,,,,,
2026/05/30,707,-875,,,,,,,
2026/05/30,708,3417,,,,,,,
2026/05/31,703,1688,,,,,,,
2026/05/31,705,-2438,,,,,,,
2026/05/31,706,-2750,,,,,,,
2026/05/31,707,-1833,,,,,,,
2026/05/31,708,-1917,,,,,,,
2026/06/01,703,-646,,,,,,,
2026/06/01,705,42,,,,,,,
2026/06/01,706,6667,,,,,,,
2026/06/01,707,-375,,,,,,,
2026/06/01,708,604,,,,,,,
2026/06/02,703,938,,,,,,,
2026/06/02,705,167,,,,,,,
2026/06/02,706,0,,,,,,,
2026/06/02,707,3500,,,,,,,
2026/06/02,708,-3708,,,,,,,
2026/06/03,703,-2812,,,,,,,
2026/06/03,705,-2333,,,,,,,
2026/06/03,706,-625,,,,,,,
2026/06/03,707,-3583,,,,,,,
2026/06/03,708,6646,,,,,,,
2026/06/04,703,-917,,,,,,,
2026/06/04,705,-2021,,,,,,,
2026/06/04,706,-312,,,,,,,
2026/06/04,707,-2042,,,,,,,
2026/06/04,708,3104,,,,,,,
2026/06/05,703,-188,,,,,,,
2026/06/05,705,6604,,,,,,,
2026/06/05,706,-979,,,,,,,
2026/06/05,707,2083,,,,,,,
2026/06/05,708,-2167,,,,,,,
2026/06/06,703,-2104,,,,,,,
2026/06/06,705,11312,,,,,,,
2026/06/06,706,7771,,,,,,,
2026/06/06,707,-3792,,,,,,,
2026/06/06,708,5062,,,,,,,
2026/06/07,703,-1375,,,,,,,
2026/06/07,705,-2000,,,,,,,
2026/06/07,706,-1583,,,,,,,
2026/06/07,707,-1688,,,,,,,
2026/06/07,708,-1833,,,,,,,
2026/06/08,703,-958,,,,,,,
2026/06/08,705,-833,,,,,,,
2026/06/08,706,-583,,,,,,,
2026/06/08,707,-2792,,,,,,,
2026/06/08,708,-167,,,,,,,
2026/06/09,703,375,,,,,,,
2026/06/09,705,-771,,,,,,,
2026/06/09,706,-333,,,,,,,
2026/06/09,707,-292,,,,,,,
2026/06/09,708,500,,,,,,,
2026/06/09,710,792,,,,,,,
2026/06/10,703,-667,,,,,,,
2026/06/10,705,146,,,,,,,
2026/06/10,706,-375,,,,,,,
2026/06/10,707,-500,,,,,,,
2026/06/10,708,-229,,,,,,,
2026/06/10,710,-917,,,,,,,
2026/06/11,703,-1958,,,,,,,
2026/06/11,705,-417,,,,,,,
2026/06/11,706,271,,,,,,,
2026/06/11,707,-1250,,,,,,,
2026/06/11,708,188,,,,,,,
2026/06/11,710,-1500,,,,,,,
2026/06/12,703,-1812,,,,,,,
2026/06/12,705,-1688,,,,,,,
2026/06/12,706,-750,,,,,,,
2026/06/12,707,-729,,,,,,,
2026/06/12,708,-208,,,,,,,
2026/06/12,710,2958,,,,,,,
2026/06/13,703,3625,,,,,,,
2026/06/13,705,-688,,,,,,,
2026/06/13,706,-500,,,,,,,
2026/06/13,707,-83,,,,,,,
2026/06/13,708,-500,,,,,,,
2026/06/13,710,146,,,,,,,
2026/06/14,703,-625,,,,,,,
2026/06/14,705,-792,,,,,,,
